outcome,beta_female_baseline,beta_female_alt_linear,N_baseline,N_alt
y_perf100,-10.98549615079991,-13.005355543385514,302,302
y_bucket,-0.5946063309716558,-0.7271780209878549,302,302
y_apply,-15.31178340720896,-17.339133432074554,302,302
y_success,-15.090805480366791,-17.577384444523037,302,302
